,id,salaryusd,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region,averagesalaryusdbins
5194,5232,61763,Microsoft SQL Server,5,Full time employee,Engineer,Yes,5,None,None (no degree completed),No,"No, I never have",50,2,Private business,Western Europe,USD65000
5197,5235,66000,Microsoft SQL Server,15,Full time employee,DBA,No,15,1,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Non-profit,Western Europe,USD65000
5201,5239,66500,Microsoft SQL Server,19,Full time employee,DBA,No,16,3,Associates (2 years),Yes,"Yes, but they expired",40,2,Private business,Western Europe,USD65000
5211,5249,62000,Microsoft SQL Server,15,Full time employee,DBA,Yes,3,2,Associates (2 years),No,"No, I never have",40,2,Private business,Western Europe,USD65000
5218,5256,64000,Microsoft SQL Server,8,Full time employee,Developer,No,8,More than 5,Masters,Yes,"Yes, and they're currently valid",40,1,Private business,Western Europe,USD65000
5223,5261,68000,Microsoft SQL Server,15,Full time employee,DBA,No,5,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",38,2,Private business,Western Europe,USD65000
5224,5262,69000,Microsoft SQL Server,8,Full time employee,Manager,Yes,5,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,1,Private business,Western Europe,USD65000
5225,5263,70000,Microsoft SQL Server,15,Full time employee,DBA,Yes,15,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5238,5276,70000,Microsoft SQL Server,15,Full time employee,DBA,Yes,15,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5244,5282,67000,Microsoft SQL Server,10,Full time employee,DBA,No,1,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Private business,North America,USD65000
5253,5291,64500,Microsoft SQL Server,10,Independent Consultant/Freelancer,DBA,No,2,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5255,5293,65000,Microsoft SQL Server,15,Full time employee,DBA,No,9,None,Doctorate/PhD,Yes,"Yes, and they're currently valid",37,1,Government,North America,USD65000
5256,5294,65000,Microsoft SQL Server,11,Full time employee,DBA,No,11,4,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD65000
5260,5298,66000,Microsoft SQL Server,7,Full time employee,Developer,Yes,7,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5261,5299,66000,Microsoft SQL Server,17,Full time employee,DBA,No,3,2,Associates (2 years),Yes,"No, I never have",38,1,Private business,North America,USD65000
5264,5302,64000,Microsoft SQL Server,10,Full time employee,DBA,No,12,1,Associates (2 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,North America,USD65000
5268,5306,62391,Microsoft SQL Server,10,Full time employee,DBA,No,6,2,Associates (2 years),Yes,"Yes, and they're currently valid",36,"None, or less than 1 day per week",Government,North America,USD65000
5271,5309,65000,Microsoft SQL Server,15,Full time employee,DBA,Yes,10,1,Associates (2 years),No,"Yes, and they're currently valid",35,3,Government,North America,USD65000
5276,5314,60438,Microsoft SQL Server,10,Full time employee,Manager,Yes,4,None,Associates (2 years),Yes,"Yes, and they're currently valid",55,3,Private business,North America,USD65000
5277,5315,67000,Microsoft SQL Server,8,Full time employee,DBA,No,9,None,Bachelors (4 years),,"No, I never have",35,"None, or less than 1 day per week",Private business,North America,USD65000
5286,5324,64000,Microsoft SQL Server,30,Full time employee,DBA,No,30,1,Masters,No,"Yes, but they expired",44,"None, or less than 1 day per week",Government,North America,USD65000
5287,5325,69508,Microsoft SQL Server,15,Full time employee,Developer,No,15,3,Associates (2 years),Yes,"Yes, and they're currently valid",35,"None, or less than 1 day per week",Private business,North America,USD65000
5288,5326,70000,Microsoft SQL Server,20,Full time employee,DBA,No,1,4,None (no degree completed),,"Yes, but they expired",35,1,Private business,North America,USD65000
5295,5333,68000,Microsoft SQL Server,8,Full time employee,Developer,No,8,3,Associates (2 years),Yes,"No, I never have",45,3,Government,North America,USD65000
5303,5341,66000,Microsoft SQL Server,15,Full time employee,Analyst,No,10,None,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Government,North America,USD65000
5306,5344,62000,Microsoft SQL Server,8,Full time employee,Developer,No,3,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5309,5347,70000,Microsoft SQL Server,5,Full time employee,DBA,No,5,None,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD65000
5312,5350,61000,Microsoft SQL Server,6,Full time employee,DBA,No,6,2,Bachelors (4 years),No,"Yes, and they're currently valid",37,5 or more,Government,North America,USD65000
5315,5353,62000,Microsoft SQL Server,17,Full time employee,DBA,No,17,None,Bachelors (4 years),No,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,North America,USD65000
5322,5360,64300,Microsoft SQL Server,5,Full time employee,DBA,No,1,3,Bachelors (4 years),Yes,"No, I never have",37,"None, or less than 1 day per week",Government,North America,USD65000
5332,5370,60500,Microsoft SQL Server,16,Full time employee,DBA,No,15,None,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5336,5374,67000,Microsoft SQL Server,7,Full time employee,DBA,No,7,None,Masters,Yes,"Yes, and they're currently valid",35,"None, or less than 1 day per week",Private business,North America,USD65000
5343,5381,64000,Microsoft SQL Server,11,Full time employee,DBA,No,9,2,Associates (2 years),Yes,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Government,North America,USD65000
5344,5382,70000,Microsoft SQL Server,8,Full time employee,Architect,No,1,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",42,"None, or less than 1 day per week",Private business,North America,USD65000
5346,5384,65750,Microsoft SQL Server,12,Full time employee,DBA,No,9,None,None (no degree completed),,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Government,North America,USD65000
5350,5388,64186,Microsoft SQL Server,10,Full time employee,DBA,No,2,2,Associates (2 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Government,North America,USD65000
5354,5392,65995,Microsoft SQL Server,4,Full time employee,DBA,No,6,1,Bachelors (4 years),Yes,"No, I never have",37,"None, or less than 1 day per week",Private business,North America,USD65000
5361,5399,67973,Microsoft SQL Server,25,Full time employee,DBA,No,25,None,Masters,No,"Yes, but they expired",40,"None, or less than 1 day per week",Government,North America,USD65000
5364,5402,63000,Microsoft SQL Server,10,Full time employee,DBA,Yes,1,1,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,North America,USD65000
5366,5404,70000,Microsoft SQL Server,6,Full time employee,DBA,No,4,4,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Government,North America,USD65000
5368,5406,70000,Microsoft SQL Server,5,Full time employee,Developer,Yes,8,1,Associates (2 years),Yes,"No, I never have",50,1,Private business,North America,USD65000
5369,5407,66000,Microsoft SQL Server,18,Full time employee,Developer,Yes,10,More than 5,Masters,Yes,"No, I never have",37,1,Government,North America,USD65000
5378,5416,66084.4,Microsoft SQL Server,13,Full time employee,DBA,Yes,8,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD65000
5379,5417,63000,Microsoft SQL Server,15,Full time employee,Architect,No,11,None,Bachelors (4 years),Yes,"No, I never have",35,"None, or less than 1 day per week",Government,North America,USD65000
5380,5418,62171,Microsoft SQL Server,2,Full time employee,Developer,No,0,2,Associates (2 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD65000
5382,5420,61000,Microsoft SQL Server,11,Full time employee,DBA,No,7,None,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD65000
5389,5427,61000,Microsoft SQL Server,4,Full time employee,Developer,No,4,4,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,North America,USD65000
5391,5429,66000,Microsoft SQL Server,6,Full time employee,Developer,No,20,3,None (no degree completed),,"No, I never have",35,"None, or less than 1 day per week",Government,North America,USD65000
5396,5434,67000,Microsoft SQL Server,15,Full time employee,DBA,No,10,None,None (no degree completed),Yes,"Yes, and they're currently valid",35,"None, or less than 1 day per week",Private business,North America,USD65000
5401,5439,66000,Microsoft SQL Server,20,Full time employee,Developer,Yes,15,5,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD65000
5402,5440,62000,Microsoft SQL Server,6,Full time employee,DBA,No,6,More than 5,Associates (2 years),Yes,"Yes, but they expired",40,4,Private business,North America,USD65000
5404,5442,65700,Microsoft SQL Server,10,Full time employee,DBA,No,5,4,Associates (2 years),Yes,"No, I never have",78,"None, or less than 1 day per week",Government,North America,USD65000
5414,5452,66152,Microsoft SQL Server,10,Full time employee,Developer,Yes,10,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5417,5455,69092,Microsoft SQL Server,15,Full time employee,DBA,No,5,None,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Non-profit,North America,USD65000
5420,5458,62000,Microsoft SQL Server,5,Full time employee,DBA,No,4,None,Associates (2 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,North America,USD65000
5425,5463,68000,Microsoft SQL Server,10,Full time employee,Manager,Yes,5,None,Associates (2 years),Yes,"No, I never have",40,3,Government,North America,USD65000
5435,5473,67000,Microsoft SQL Server,20,Full time employee,Developer,No,2,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,North America,USD65000
5436,5474,64500,Microsoft SQL Server,20,Full time employee,Developer,Yes,10,None,None (no degree completed),,"Yes, and they're currently valid",50,1,Private business,North America,USD65000
5447,5485,66750,Microsoft SQL Server,3,Full time employee,Developer,No,3,2,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5450,5488,64000,Microsoft SQL Server,7,Full time employee,DBA,No,7,None,Bachelors (4 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD65000
5451,5489,67000,Microsoft SQL Server,14,Full time employee,Architect,Yes,2,None,Masters,Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,North America,USD65000
5457,5495,70000,Microsoft SQL Server,15,Full time employee,DBA,No,6,1,Bachelors (4 years),,"Yes, but they expired",40,"None, or less than 1 day per week",Government,North America,USD65000
5464,5502,63200,Microsoft SQL Server,4,Full time employee,DBA,No,3,2,Associates (2 years),Yes,"Yes, but they expired",35,1,Government,North America,USD65000
5466,5504,70000,Microsoft SQL Server,5,Full time employee,Manager,Yes,2,None,Bachelors (4 years),No,"No, I never have",45,"None, or less than 1 day per week",Private business,North America,USD65000
5469,5507,69610,Microsoft SQL Server,14,Full time employee,DBA,Yes,7,3,Associates (2 years),Yes,"Yes, but they expired",37,"None, or less than 1 day per week",Government,North America,USD65000
5470,5508,60750,Microsoft SQL Server,10,Full time employee,DBA,No,10,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5472,5510,67500,Microsoft SQL Server,11,Full time employee,DBA,No,2,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Private business,North America,USD65000
5474,5512,69000,Microsoft SQL Server,10,Full time employee,DBA,No,7,3,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,North America,USD65000
5506,5544,66500,Microsoft SQL Server,10,Full time employee,DBA,No,5,1,Masters,Yes,"Yes, and they're currently valid",40,2,Private business,Eastern Europe,USD65000
5517,5555,70000,Microsoft SQL Server,6,Full time employee,Developer,No,6,5,Masters,Yes,"Yes, and they're currently valid",46,4,Private business,Eastern Europe,USD65000
5518,5556,68000,Microsoft SQL Server,15,Full time employee,Manager,Yes,1,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,1,Private business,Eastern Europe,USD65000
5520,5558,63500,Microsoft SQL Server,10,Full time employee,Manager,No,1,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD65000
5535,5573,69600,Microsoft SQL Server,10,Full time employee,DBA,Yes,10,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD65000
5557,5595,70000,Microsoft SQL Server,12,Full time employee,DBA,No,12,None,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5559,5597,65000,Microsoft SQL Server,15,Full time employee,DBA,No,5,1,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Government,Australia,USD65000
5578,5616,70000,Microsoft SQL Server,15,Full time employee,Analyst,No,4,1,Bachelors (4 years),No,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Government,Australia,USD65000
5585,5623,67000,Microsoft SQL Server,4,Full time employee,Developer,No,1,None,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5587,5625,65000,Microsoft SQL Server,5,Full time employee,Engineer,No,5,1,None (no degree completed),,"No, I never have",35,"None, or less than 1 day per week",Government,Australia,USD65000
5594,5632,68000,Microsoft SQL Server,18,Full time employee,Analyst,No,1,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5600,5638,62250,Microsoft SQL Server,3,Full time employee,DBA,No,3,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Private business,Australia,USD65000
5601,5639,61000,Microsoft SQL Server,15,Full time employee,Developer,No,18,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",50,5 or more,Private business,Australia,USD65000
5606,5644,69882,Microsoft SQL Server,15,Full time employee,DBA,Yes,6,1,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,Australia,USD65000
5608,5646,64000,Microsoft SQL Server,2,Full time employee,Analyst,No,1,1,Masters,No,"Yes, and they're currently valid",40,2,Private business,Australia,USD65000
5614,5652,67789,Microsoft SQL Server,13,Full time employee,Developer,Yes,5,None,Masters,No,"No, I never have",40,3,Private business,Australia,USD65000
5619,5657,69000,Microsoft SQL Server,4,Full time employee,Developer,No,3,None,None (no degree completed),,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5629,5667,60500,Microsoft SQL Server,3,Full time employee,Developer,No,3,4,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5634,5672,62000,Microsoft SQL Server,3,Full time employee,Analyst,No,1,None,None (no degree completed),,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5641,5679,62000,Microsoft SQL Server,20,Full time employee,Developer,No,17,1,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5644,5682,67500,Microsoft SQL Server,10,Full time employee,Analyst,No,15,None,None (no degree completed),,"Yes, but they expired",47,"None, or less than 1 day per week",Private business,Australia,USD65000
5646,5684,68000,Microsoft SQL Server,6,Full time employee,Analyst,No,6,None,Doctorate/PhD,Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5649,5687,63000,Microsoft SQL Server,12,Full time employee,Developer,No,12,2,Bachelors (4 years),Yes,"No, I never have",40,2,Private business,Australia,USD65000
5650,5688,62500,Microsoft SQL Server,3,Full time employee,DBA,No,2,5,None (no degree completed),,"Yes, and they're currently valid",40,2,Government,Australia,USD65000
5662,5700,66000,Microsoft SQL Server,3,Full time employee,Engineer,No,3,1,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Australia,USD65000
5669,5707,69000,Microsoft SQL Server,4,Full time employee,Manager,Yes,2,1,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5678,5716,70000,Microsoft SQL Server,1,Full time employee,DBA,No,1,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Australia,USD65000
5693,5731,70000,Microsoft SQL Server,0,Full time employee,DBA,No,0,None,Bachelors (4 years),Yes,"No, I never have",38,"None, or less than 1 day per week",Private business,Australia,USD65000
5703,5741,70000,Microsoft SQL Server,6,Full time employee,DBA,No,6,1,Bachelors (4 years),,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Private business,Australia,USD65000
5841,5881,65000,Microsoft SQL Server,18,Full time employee,DBA,No,14,4,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,2,Private business,Western Europe,USD65000
5848,5888,63000,Microsoft SQL Server,20,Full time employee,Developer,No,12,1,Bachelors (4 years),Yes,"Yes, but they expired",60,5 or more,Private business,Africa,USD65000
5849,5889,66000,Microsoft SQL Server,10,Full time employee,Developer,No,10,2,Bachelors (4 years),No,"No, I never have",60,"None, or less than 1 day per week",Private business,Africa,USD65000
5857,5897,68000,Microsoft SQL Server,15,Full time employee,Architect,Yes,5,3,Associates (2 years),Yes,"Yes, and they're currently valid",48,"None, or less than 1 day per week",Private business,Africa,USD65000
5864,5904,65000,Microsoft SQL Server,17,Full time employee,Developer,No,17,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Africa,USD65000
5869,5909,61800,Microsoft SQL Server,10,Full time employee,DBA,Yes,5,None,None (no degree completed),,"Yes, and they're currently valid",60,2,Private business,Africa,USD65000
5888,5928,64000,MySQL/MariaDB,15,Full time employee,DBA,No,10,2,None (no degree completed),,"No, I never have",45,3,Private business,Africa,USD65000
5889,5929,62400,Microsoft SQL Server,10,Full time employee,Manager,Yes,6,More than 5,Bachelors (4 years),Yes,"No, I never have",50,"None, or less than 1 day per week",Private business,Africa,USD65000
5890,5930,62400,Microsoft SQL Server,22,Independent Consultant/Freelancer,DBA,No,1,None,None (no degree completed),No,"Yes, but they expired",40,5 or more,Private business,Africa,USD65000
5894,5934,63000,Microsoft SQL Server,11,Full time employee,DBA,No,11,None,Associates (2 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Private business,Africa,USD65000
5908,5948,65000,Microsoft SQL Server,13,Full time employee,Manager,Yes,13,None,Masters,Yes,"No, I never have",48,5 or more,Private business,Western Europe,USD65000
5909,5949,65000,Microsoft SQL Server,13,Full time employee,Manager,Yes,4,None,Masters,No,"No, I never have",45,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5910,5950,65000,Microsoft SQL Server,15,Full time employee,DBA,No,12,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5922,5962,70000,Microsoft SQL Server,20,Full time employee,DBA,No,3,5,Masters,No,"No, I never have",45,"None, or less than 1 day per week",Private business,Middle East,USD65000
5929,5969,68000,Microsoft SQL Server,6,Full time employee,DBA,No,6,1,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Private business,Middle East,USD65000
5934,5975,64000,Microsoft SQL Server,16,Full time employee,DBA,No,1,None,Associates (2 years),Yes,"Yes, and they're currently valid",40,1,Private business,Western Europe,USD65000
5936,5977,62666,Microsoft SQL Server,5,Full time employee,DBA,No,17,1,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5940,5981,67902,Microsoft SQL Server,15,Full time employee,DBA,No,1,1,None (no degree completed),Yes,"Yes, and they're currently valid",40,5 or more,Private business,Western Europe,USD65000
5941,5982,65000,Microsoft SQL Server,16,Independent Consultant/Freelancer,Developer,No,3,None,None (no degree completed),,"Yes, but they expired",40,3,Private business,Western Europe,USD65000
5944,5985,66300,Microsoft SQL Server,5,Full time employee,Engineer,No,6,1,Bachelors (4 years),Yes,"Yes, but they expired",40,2,Private business,Western Europe,USD65000
5945,5986,65000,Microsoft SQL Server,18,Full time employee,DBA,No,10,3,Associates (2 years),Yes,"No, I never have",42,1,Private business,Western Europe,USD65000
5947,5988,62000,Microsoft SQL Server,7,Full time employee,Architect,No,6,None,Bachelors (4 years),No,"Yes, and they're currently valid",45,1,Private business,Western Europe,USD65000
5949,5990,61000,Microsoft SQL Server,6,Full time employee,Developer,No,12,More than 5,Bachelors (4 years),Yes,"No, I never have",40,"None, or less than 1 day per week",Government,Western Europe,USD65000
5953,5994,66000,Microsoft SQL Server,17,Full time employee,Developer,No,17,5,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Government,Western Europe,USD65000
5963,6004,70000,Microsoft SQL Server,19,Full time employee,DBA,Yes,16,2,Bachelors (4 years),No,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5966,6007,69000,Microsoft SQL Server,10,Full time employee,DBA,No,10,5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5967,6008,69000,Microsoft SQL Server,10,Full time employee,DBA,No,10,5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5971,6012,65610,Microsoft SQL Server,12,Full time employee,DBA,No,1,None,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
5974,6015,62100,Microsoft SQL Server,10,Full time employee,Developer,No,6,1,Bachelors (4 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Government,Western Europe,USD65000
5976,6017,64000,Microsoft SQL Server,10,Full time employee,Developer,No,13,1,Bachelors (4 years),Yes,"No, I never have",40,2,Private business,Western Europe,USD65000
5991,6032,62000,Microsoft SQL Server,10,Full time employee,Engineer,No,20,1,None (no degree completed),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6001,6042,64000,Microsoft SQL Server,19,Independent Consultant/Freelancer,Developer,No,12,None,None (no degree completed),No,"No, I never have",35,3,Private business,Western Europe,USD65000
6002,6043,66000,Microsoft SQL Server,4,Full time employee,DBA,No,20,2,None (no degree completed),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6005,6046,67000,Microsoft SQL Server,5,Full time employee,DBA,No,18,1,Associates (2 years),Yes,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6007,6048,63000,Microsoft SQL Server,10,Full time employee,Developer,No,3,None,Bachelors (4 years),Yes,"No, I never have",40,2,Private business,Western Europe,USD65000
6010,6051,69000,Microsoft SQL Server,15,Full time employee,DBA,No,10,More than 5,Associates (2 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6011,6052,66000,Microsoft SQL Server,9,Full time employee,DBA,No,9,More than 5,None (no degree completed),,"Yes, and they're currently valid",40,1,Private business,Western Europe,USD65000
6012,6053,70000,Microsoft SQL Server,15,Full time employee,DBA,No,10,5,Masters,Yes,"Yes, but they expired",38,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6015,6056,66000,Microsoft SQL Server,6,Full time employee,DBA,No,2,4,Associates (2 years),No,"Yes, but they expired",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6017,6058,65000,Microsoft SQL Server,13,Full time employee,DBA,No,13,None,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6052,6093,65388,Microsoft SQL Server,5,Full time employee,Engineer,No,8,1,Associates (2 years),,"No, I never have",38,"None, or less than 1 day per week",Government,Western Europe,USD65000
6059,6100,70000,Microsoft SQL Server,7,Full time employee,Developer,No,7,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,5 or more,Private business,Western Europe,USD65000
6064,6105,68000,Microsoft SQL Server,7,Full time employee,Engineer,No,9,None,Associates (2 years),No,"No, I never have",38,"None, or less than 1 day per week",Government,Western Europe,USD65000
6067,6108,70000,Microsoft SQL Server,15,Full time employee,Engineer,No,5,2,None (no degree completed),,"Yes, but they expired",60,2,Private business,Western Europe,USD65000
6080,6121,70000,Microsoft SQL Server,10,Full time employee,Analyst,No,1,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",35,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6081,6122,63000,Microsoft SQL Server,6,Full time employee,DBA,No,2,None,Bachelors (4 years),No,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6192,6235,67000,Microsoft SQL Server,7,Full time employee,DBA,No,6,None,Bachelors (4 years),,"Yes, and they're currently valid",37,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6205,6249,69000,Microsoft SQL Server,4,Full time employee,DBA,Yes,4,2,Bachelors (4 years),,"Yes, and they're currently valid",39,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6209,6253,67000,Microsoft SQL Server,17,Full time employee,DBA,No,21,None,Bachelors (4 years),Yes,"No, I never have",37,"None, or less than 1 day per week",Government,Western Europe,USD65000
6218,6262,63000,Microsoft SQL Server,11,Full time employee,DBA,No,4,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,1,Private business,Western Europe,USD65000
6221,6265,63000,Microsoft SQL Server,20,Full time employee,DBA,No,7,1,Bachelors (4 years),Yes,"Yes, but they expired",38,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6225,6269,63500,Microsoft SQL Server,15,Full time employee,Developer,No,15,1,Bachelors (4 years),Yes,"No, I never have",40,1,Government,Western Europe,USD65000
6231,6275,66000,Microsoft SQL Server,10,Full time employee,DBA,No,2,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",38,"None, or less than 1 day per week",Private business,Western Europe,USD65000
6341,6385,64000,Microsoft SQL Server,17,Independent Consultant/Freelancer,Architect,Yes,17,None,Masters,No,"Yes, but they expired",60,5 or more,Private business,Eastern Europe,USD65000
6351,6395,68000,Microsoft SQL Server,11,Full time employee,DBA,No,11,More than 5,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Eastern Europe,USD65000
6391,6435,63000,Microsoft SQL Server,15,Full time employee,Manager,Yes,1,None,Bachelors (4 years),Yes,"No, I never have",45,"None, or less than 1 day per week",Private business,Eastern Europe,USD65000
6411,6455,67000,Microsoft SQL Server,15,Full time employee,DBA,No,2,3,Masters,Yes,"Yes, but they expired",50,5 or more,Private business,Western Europe,USD65000
6416,6460,63000,Microsoft SQL Server,8,Full time employee,DBA,No,3,1,None (no degree completed),,"No, I never have",45,"None, or less than 1 day per week",Government,Australia,USD65000
6423,6467,70000,Oracle,1,Full time employee,Engineer,No,1,None,None (no degree completed),,"No, I never have",40,"None, or less than 1 day per week",Private business,Australia,USD65000
6425,6469,61000,Microsoft SQL Server,4,Full time employee,Developer,No,3,None,Masters,Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Australia,USD65000
6427,6471,65500,Microsoft SQL Server,10,Full time employee,DBA,No,3,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",40,"None, or less than 1 day per week",Private business,Australia,USD65000
6429,6473,67000,Microsoft SQL Server,10,Full time employee,DBA,No,5,More than 5,None (no degree completed),,"Yes, but they expired",45,"None, or less than 1 day per week",Private business,Australia,USD65000
6430,6474,63000,Microsoft SQL Server,7,Full time employee,DBA,No,1,None,None (no degree completed),,"Yes, and they're currently valid",45,"None, or less than 1 day per week",Private business,Australia,USD65000
6436,6480,61575,Microsoft SQL Server,15,Full time employee,Analyst,No,8,None,Masters,No,"No, I never have",40,"None, or less than 1 day per week",Private business,Australia,USD65000
6443,6487,65870,Microsoft SQL Server,8,Full time employee,DBA,No,2,None,None (no degree completed),,"Yes, and they're currently valid",40,1,Private business,Australia,USD65000
