,Unnamed: 0,age,gender,country,education,title,size,data_prof_size,mach_learn_presence,salary,udacity,coursera,edx,datacamp,dataquest,kaggle,fastai,udemy,linkedin,university,plat_none,plat_other,prime_tool,length_coding,jupyter,rstudio,pycharm,atom,matlab,vsc,spyder,vim_emacs,notepad++,sublime,env_none,env_other,python,r,sql,c,c++,java,javascript,typescript,bash,lan_matlab,lan_none,lan_other,first_program,ggplot,matplotlib,altair,shiny,d3,plotly,bokeh,seaborn,geoplotlib,leaflet,vis_none,vis_other,years_mach_learn,regression,tree_forest,gradient_boost,bayesian,evolutionary,dnn,cnn,gan,rnn,bert,mach_none,mach_other,scikit,tensor_flow,keras,random_forest,xgboost,pytorch,caret,lightgbm,sparkmlib,fastai_2,frame_none,frame_other,gcp,aws,azure,ibm_cloud,alibaba_cloud,salesforce_cloud,oracle_cloud,sap_cloud,vmware_cloud,redhat_cloud,cloud_none,cloud_other,mysql,postgres,sql_lite,sqlserver,oracle,micro_acess,aws_data,aws_dynamo,azure_sql,google_sql,database_none,database_other
1492,1492,32.0,Male,United States of America,Master’s degree,Data Scientist,large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",274999.5,1,0,0,0,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,1498,42.0,Female,United States of America,Master’s degree,Data Scientist,large,9-May,We are exploring ML methods (and may one day put a model into production),112499.5,0,1,0,0,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Python,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1501,1501,37.0,Male,United States of America,Bachelor’s degree,Software Engineer,small,0,No (we do not use ML methods),137499.5,1,0,0,1,0,1,0,0,0,0,0,0,Other,< 1 years,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,Python,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504,1504,32.0,Male,United States of America,Bachelor’s degree,Business Analyst,medium,2-Jan,No (we do not use ML methods),94999.5,0,1,1,1,0,1,0,1,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Python,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1506,1506,32.0,Male,United States of America,Doctoral degree,Research Scientist,large,20+,No (we do not use ML methods),174999.5,0,1,1,0,0,1,0,0,0,1,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",10-20 years,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,Python,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508,1508,32.0,Male,United States of America,Master’s degree,Software Engineer,medium,2-Jan,We use ML methods for generating insights (but do not put working models into production),137499.5,1,1,0,0,0,1,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1512,1512,32.0,Male,United States of America,Master’s degree,Data Scientist,medium,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)",112499.5,0,0,0,0,0,0,0,0,0,0,1,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Python,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1516,1516,19.5,Male,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",44999.5,0,0,0,1,0,0,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,Python,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1517,1517,27.0,Male,United States of America,Doctoral degree,Data Scientist,small,4-Mar,We are exploring ML methods (and may one day put a model into production),112499.5,0,1,0,0,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Python,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,1519,27.0,Male,United States of America,Master’s degree,Data Engineer,medium,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",74999.5,0,1,1,1,0,1,0,1,1,1,0,0,Other,3-5 years,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Python,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1524,1524,52.0,Male,United States of America,Doctoral degree,Research Scientist,large,14-Oct,We are exploring ML methods (and may one day put a model into production),137499.5,0,0,0,1,0,1,0,1,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",20+ years,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,R,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1528,1528,64.5,Male,United States of America,Master’s degree,Other,large,14-Oct,We use ML methods for generating insights (but do not put working models into production),112499.5,0,0,0,0,0,0,0,0,0,0,1,0,"Local development environments (RStudio, JupyterLab, etc.)",20+ years,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,Python,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1529,1529,37.0,Male,United States of America,Bachelor’s degree,Software Engineer,medium,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",112499.5,0,0,0,0,0,0,0,1,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,Python,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,1532,27.0,Male,United States of America,Master’s degree,Software Engineer,large,4-Mar,We are exploring ML methods (and may one day put a model into production),112499.5,0,0,0,0,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Python,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1535,1535,27.0,Male,United States of America,Bachelor’s degree,Data Analyst,small,4-Mar,We are exploring ML methods (and may one day put a model into production),74999.5,1,1,0,1,0,0,0,0,0,0,0,0,"Advanced statistical software (SPSS, SAS, etc.)",3-5 years,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Python,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,1539,42.0,Male,United States of America,Bachelor’s degree,Product/Project Manager,large,20+,We use ML methods for generating insights (but do not put working models into production),274999.5,0,1,0,0,0,0,0,0,0,0,0,0,Other,5-10 years,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,Python,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1541,1541,27.0,Male,United States of America,Master’s degree,Data Scientist,large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",54999.5,0,0,0,1,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1544,1544,42.0,Male,United States of America,Master’s degree,Business Analyst,large,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)",112499.5,0,0,0,0,0,0,0,0,0,1,0,0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3-5 years,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Python,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1546,1546,57.0,Male,United States of America,Bachelor’s degree,Software Engineer,large,20+,I do not know,74999.5,0,1,1,1,0,1,1,1,0,0,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",< 1 years,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1550,1550,47.0,Female,United States of America,Bachelor’s degree,Product/Project Manager,small,4-Mar,No (we do not use ML methods),94999.5,0,1,0,1,0,0,0,0,0,0,0,1,"Local development environments (RStudio, JupyterLab, etc.)",< 1 years,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Python,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1555,1555,27.0,Male,United States of America,Master’s degree,Data Scientist,small,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",94999.5,0,0,0,0,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Python,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1558,1558,,Male,United States of America,Doctoral degree,Research Scientist,small,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)",400000.0,0,1,1,0,0,0,0,0,0,0,0,0,Other,20+ years,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Python,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1564,1564,27.0,Male,United States of America,Master’s degree,Data Scientist,medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",137499.5,0,0,0,0,0,0,0,0,0,1,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Python,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1566,1566,42.0,Male,United States of America,Master’s degree,Data Analyst,small,15-19,We are exploring ML methods (and may one day put a model into production),94999.5,0,0,0,1,0,1,0,0,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1-2 years,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,Python,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,1567,37.0,Male,United States of America,Doctoral degree,Data Scientist,medium,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",174999.5,1,1,0,1,1,0,1,1,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1568,1568,64.5,Male,United States of America,Master’s degree,Product/Project Manager,medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",174999.5,0,0,0,0,0,0,0,0,0,1,0,0,"Advanced statistical software (SPSS, SAS, etc.)",5-10 years,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,Python,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1572,1572,37.0,Male,United States of America,Doctoral degree,Software Engineer,small,0,We are exploring ML methods (and may one day put a model into production),112499.5,0,0,0,0,0,0,0,0,0,0,1,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5-10 years,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,Python,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1584,1584,32.0,Female,United States of America,Master’s degree,Research Scientist,small,9-May,No (we do not use ML methods),44999.5,1,0,0,0,0,1,0,0,0,0,0,0,"Advanced statistical software (SPSS, SAS, etc.)",3-5 years,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Python,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1586,1586,47.0,Male,United States of America,Master’s degree,Business Analyst,small,4-Mar,We are exploring ML methods (and may one day put a model into production),44999.5,1,0,0,1,0,1,0,1,0,0,0,1,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",10-20 years,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Python,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0
1591,1591,27.0,Male,United States of America,Bachelor’s degree,Data Scientist,medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",137499.5,0,0,0,0,0,0,0,0,0,0,0,1,"Local development environments (RStudio, JupyterLab, etc.)",1-2 years,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1592,1592,37.0,Male,United States of America,Bachelor’s degree,Other,large,20+,No (we do not use ML methods),44999.5,0,0,0,0,0,0,0,1,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SQL,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,1595,27.0,Male,United States of America,Bachelor’s degree,Data Scientist,small,14-Oct,"We have well established ML methods (i.e., models in production for more than 2 years)",94999.5,0,0,0,1,0,1,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Python,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1600,1600,47.0,Female,United States of America,Bachelor’s degree,Other,small,0,No (we do not use ML methods),34999.5,1,1,1,0,0,0,0,1,0,0,0,0,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",< 1 years,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Python,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611,1611,42.0,Male,United States of America,Master’s degree,Business Analyst,large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",137499.5,0,0,0,1,0,1,0,1,0,1,0,0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",5-10 years,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1612,1612,57.0,Male,United States of America,Bachelor’s degree,Software Engineer,small,2-Jan,We use ML methods for generating insights (but do not put working models into production),34999.5,0,0,0,0,0,0,0,0,1,0,0,0,"Advanced statistical software (SPSS, SAS, etc.)",20+ years,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,Python,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,1615,32.0,Male,United States of America,Bachelor’s degree,Data Scientist,small,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",112499.5,1,1,1,1,0,1,0,0,1,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,R,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1616,1616,37.0,Female,United States of America,Master’s degree,Data Scientist,large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",137499.5,0,1,1,1,0,0,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,Python,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1619,1619,32.0,Male,United States of America,Master’s degree,Data Analyst,medium,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",137499.5,0,0,0,0,0,0,0,0,0,1,0,0,Other,5-10 years,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,SQL,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1620,1620,47.0,Male,United States of America,Bachelor’s degree,Software Engineer,small,9-May,"We have well established ML methods (i.e., models in production for more than 2 years)",112499.5,0,0,0,0,0,0,0,0,0,0,1,0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3-5 years,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,Python,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1621,1621,37.0,Male,United States of America,Doctoral degree,Data Scientist,small,2-Jan,We are exploring ML methods (and may one day put a model into production),94999.5,0,1,0,0,0,0,0,0,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",5-10 years,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Python,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1624,1624,37.0,Male,United States of America,Master’s degree,Data Scientist,small,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)",224999.5,1,1,0,0,0,1,0,1,0,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",10-20 years,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Python,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1632,1632,32.0,Male,United States of America,Master’s degree,Other,medium,4-Mar,We use ML methods for generating insights (but do not put working models into production),112499.5,0,0,0,1,0,0,0,0,0,0,0,0,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",5-10 years,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,SQL,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1633,1633,32.0,Male,United States of America,Bachelor’s degree,Data Engineer,small,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)",174999.5,0,1,0,0,0,0,0,0,0,0,0,1,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",5-10 years,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,Python,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1638,1638,42.0,Male,United States of America,Bachelor’s degree,Software Engineer,large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",137499.5,0,1,1,0,0,0,0,0,0,0,0,0,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5-10 years,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,R,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
1640,1640,32.0,Male,United States of America,Doctoral degree,Business Analyst,small,4-Mar,"We recently started using ML methods (i.e., models in production for less than 2 years)",137499.5,0,1,0,0,0,1,0,0,1,0,0,0,"Local development environments (RStudio, JupyterLab, etc.)",3-5 years,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,R,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
