,id,salaryusd,country,primarydatabase,yearswiththisdatabase,employmentstatus,jobtitle,managestaff,yearswiththistypeofjob,otherpeopleonyourteam,education,educationiscomputerrelated,certifications,hoursworkedperweek,telecommutedaysperweek,employmentsector,region
941,947,73000.0,United States,Microsoft SQL Server,4.0,Full time employee,Manager,Yes,3.0,None,Bachelors (4 years),No,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
942,948,56000.0,United States,Microsoft SQL Server,2.0,Full time employee,Developer,No,2.0,None,Associates (2 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
943,949,38000.0,United States,Microsoft SQL Server,1.0,Full time employee,Engineer,No,0.0,None,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
944,950,135000.0,United States,Microsoft SQL Server,12.0,Full time employee,DBA,Yes,12.0,1,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
945,951,140000.0,United States,Microsoft SQL Server,17.0,Full time employee,DBA,No,9.0,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",55.0,5 or more,Private business,North America
946,952,98000.0,United States,Microsoft SQL Server,17.0,Full time employee,Developer,No,17.0,4,None (no degree completed),,"No, I never have",50.0,1,Private business,North America
947,953,88000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,3.0,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Government,North America
948,954,82000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,No,1.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
949,955,180000.0,United States,Other,1.0,Full time employee,Architect,Yes,3.0,None,Bachelors (4 years),No,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
950,956,78000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,No,5.0,None,Bachelors (4 years),Yes,"No, I never have",42.0,"None, or less than 1 day per week",Government,North America
951,957,62000.0,United States,Other,4.0,Full time employee,DBA,No,4.0,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
952,958,124000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,No,24.0,2,Masters,Yes,"Yes, and they're currently valid",50.0,2,Private business,North America
953,959,96000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,4.0,3,Bachelors (4 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
954,960,125000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,10.0,3,Bachelors (4 years),Yes,"Yes, but they expired",40.0,4,Private business,North America
955,961,59009.0,United States,Microsoft SQL Server,4.0,Full time employee,Developer,Yes,2.0,None,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
956,962,85000.0,United States,Microsoft SQL Server,8.0,Full time employee,Developer,No,1.0,More than 5,Bachelors (4 years),No,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
957,963,64000.0,United States,Microsoft SQL Server,3.0,Full time employee,Analyst,No,3.0,3,Associates (2 years),,"No, I never have",35.0,"None, or less than 1 day per week",Private business,North America
958,964,134000.0,United States,Microsoft SQL Server,13.0,Full time employee,Architect,No,2.0,1,Masters,Yes,"No, I never have",40.0,5 or more,Private business,North America
959,965,61000.0,United States,Microsoft SQL Server,3.0,Full time employee,Developer,No,3.0,More than 5,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
960,966,125000.0,United States,Microsoft SQL Server,13.0,Full time employee,DBA,No,10.0,1,Bachelors (4 years),Yes,"Yes, but they expired",45.0,1,Private business,North America
961,967,102000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,0.0,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,5 or more,Private business,North America
962,968,87000.0,United States,Microsoft SQL Server,14.0,Full time employee,DBA,No,12.0,1,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
963,969,67080.0,United States,Oracle,0.0,Full time employee,Analyst,No,0.0,More than 5,Associates (2 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
964,970,84000.0,United States,Microsoft SQL Server,8.0,Full time employee,Developer,No,2.0,5,Masters,Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
965,971,75000.0,United States,Microsoft SQL Server,5.0,Full time employee,DBA,No,5.0,4,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
966,972,64000.0,United States,Microsoft SQL Server,5.0,Full time employee,Engineer,No,5.0,1,Associates (2 years),,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
967,973,135000.0,United States,Microsoft SQL Server,20.0,Full time employee,Manager,Yes,5.0,None,None (no degree completed),,"Yes, and they're currently valid",55.0,"None, or less than 1 day per week",Private business,North America
968,974,93000.0,United States,Oracle,10.0,Full time employee,Developer,Yes,6.0,3,Masters,Yes,"Yes, but they expired",40.0,5 or more,Private business,North America
969,975,104300.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,5.0,More than 5,Bachelors (4 years),No,"Yes, but they expired",42.0,"None, or less than 1 day per week",Private business,North America
970,976,130000.0,United States,Microsoft SQL Server,8.0,Full time employee,Manager,Yes,5.0,None,Bachelors (4 years),Yes,"No, I never have",45.0,5 or more,Private business,North America
971,977,75000.0,United States,Microsoft SQL Server,6.0,Full time employee,Developer,No,1.0,3,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
972,978,127000.0,United States,Microsoft SQL Server,20.0,Full time employee,Developer,No,9.0,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
973,979,165000.0,United States,Microsoft SQL Server,8.0,Full time employee,Manager,Yes,4.0,None,Bachelors (4 years),No,"Yes, and they're currently valid",45.0,1,Private business,North America
974,980,100000.0,United States,Microsoft SQL Server,5.0,Full time employee,Engineer,No,5.0,2,None (no degree completed),,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
975,981,126500.0,United States,Microsoft SQL Server,17.0,Full time employee,Manager,Yes,2.0,None,Associates (2 years),No,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
976,982,123000.0,United States,Microsoft SQL Server,20.0,Full time employee,Developer,No,5.0,4,None (no degree completed),,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
977,983,101000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,1.0,1,Masters,Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
978,984,109000.0,United States,Microsoft SQL Server,9.0,Full time employee,DBA,No,7.0,5,Bachelors (4 years),No,"Yes, and they're currently valid",38.0,"None, or less than 1 day per week",Private business,North America
979,985,78000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,13.0,None,Associates (2 years),Yes,"Yes, but they expired",50.0,1,Private business,North America
980,986,65000.0,United States,Microsoft SQL Server,3.0,Full time employee,Developer,No,3.0,None,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
981,987,125000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,No,18.0,1,Masters,Yes,"Yes, but they expired",50.0,5 or more,Private business,North America
982,988,108000.0,United States,Microsoft SQL Server,17.0,Full time employee,Developer,Yes,10.0,3,Associates (2 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
983,989,92000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,4.0,None,Bachelors (4 years),Yes,"No, I never have",52.0,5 or more,Private business,North America
984,990,59700.0,United States,Microsoft SQL Server,2.0,Full time employee,Analyst,No,2.0,1,Associates (2 years),,"Yes, and they're currently valid",40.0,3,Government,North America
985,991,92000.0,United States,Microsoft SQL Server,9.0,Full time employee,Developer,No,4.0,2,Bachelors (4 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
986,992,111000.0,United States,Microsoft SQL Server,10.0,Full time employee,Developer,No,7.0,None,Bachelors (4 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
987,993,57000.0,United States,Microsoft SQL Server,2.0,Full time employee,DBA,No,2.0,4,None (no degree completed),,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
988,994,108000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,10.0,More than 5,None (no degree completed),,"No, I never have",42.0,5 or more,Private business,North America
989,995,90000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,10.0,None,None (no degree completed),,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
990,996,72500.0,United States,Microsoft SQL Server,8.0,Full time employee,DBA,No,6.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
991,997,125000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,Yes,1.0,None,Masters,No,"Yes, but they expired",40.0,1,Private business,North America
992,998,63000.0,United States,Microsoft SQL Server,3.0,Full time employee,Developer,No,3.0,2,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
993,999,67000.0,United States,Microsoft SQL Server,3.0,Full time employee,DBA,No,1.0,5,None (no degree completed),,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
994,1000,125000.0,United States,Microsoft SQL Server,23.0,Full time employee,DBA,No,5.0,None,None (no degree completed),,"No, I never have",50.0,2,Private business,North America
995,1001,185000.0,United States,Microsoft SQL Server,8.0,Full time employee,DBA,Yes,9.0,None,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
996,1002,70000.0,United States,Microsoft SQL Server,3.0,Full time employee,DBA,No,3.0,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
997,1003,77000.0,United States,Microsoft SQL Server,4.0,Full time employee,Developer,No,2.0,More than 5,None (no degree completed),,"Yes, and they're currently valid",40.0,1,Private business,North America
998,1004,130000.0,United States,Microsoft SQL Server,5.0,Full time employee,Developer,No,1.0,4,Bachelors (4 years),No,"No, I never have",40.0,5 or more,Government,North America
999,1005,81000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,2.0,5,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1000,1006,87400.0,United States,Oracle,7.0,Full time employee,DBA,No,7.0,4,Masters,No,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
1001,1007,108000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,4.0,3,Bachelors (4 years),Yes,"Yes, but they expired",40.0,2,Private business,North America
1002,1008,61900.0,United States,Microsoft SQL Server,1.0,Full time employee,DBA,No,1.0,None,Bachelors (4 years),Yes,"No, I never have",50.0,2,Government,North America
1003,1009,65000.0,United States,Microsoft SQL Server,2.0,Full time employee,DBA,No,2.0,None,Bachelors (4 years),No,"No, I never have",50.0,1,Private business,North America
1004,1010,210000.0,United States,Microsoft SQL Server,9.0,Full time employee,DBA,Yes,2.0,None,None (no degree completed),,"Yes, and they're currently valid",40.0,1,Private business,North America
1005,1011,115000.0,United States,Microsoft SQL Server,12.0,Full time employee,Architect,Yes,3.0,None,Masters,No,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Private business,North America
1006,1012,142000.0,United States,Microsoft SQL Server,19.0,Full time employee,Developer,No,3.0,None,Associates (2 years),Yes,"Yes, and they're currently valid",38.0,2,Private business,North America
1007,1013,220000.0,United States,Microsoft SQL Server,18.0,Full time employee,Manager,Yes,8.0,None,Associates (2 years),,"Yes, and they're currently valid",50.0,1,Private business,North America
1008,1014,175000.0,United States,Microsoft SQL Server,15.0,Full time employee,Manager,Yes,3.0,None,None (no degree completed),,"Yes, but they expired",50.0,2,Private business,North America
1009,1015,180000.0,United States,Microsoft SQL Server,17.0,Full time employee,Architect,No,14.0,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",60.0,"None, or less than 1 day per week",Private business,North America
1010,1016,85900.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,2.0,1,None (no degree completed),,"No, I never have",42.0,1,Government,North America
1011,1017,123000.0,United States,Microsoft SQL Server,10.0,Full time employee,Developer,No,2.0,3,Bachelors (4 years),No,"Yes, and they're currently valid",40.0,1,Private business,North America
1012,1018,160000.0,United States,Microsoft SQL Server,17.0,Full time employee,Engineer,No,2.0,None,Masters,Yes,"No, I never have",40.0,4,Private business,North America
1013,1019,127000.0,United States,Microsoft SQL Server,13.0,Full time employee,Engineer,No,2.0,More than 5,Bachelors (4 years),Yes,"Yes, and they're currently valid",50.0,5 or more,Private business,North America
1014,1020,118000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,6.0,None,Bachelors (4 years),Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Private business,North America
1015,1021,101000.0,United States,Microsoft SQL Server,21.0,Full time employee,Developer,No,21.0,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
1016,1022,60000.0,United States,PostgreSQL,2.0,Full time employee,Developer,No,2.0,2,Associates (2 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1017,1023,83000.0,United States,Microsoft SQL Server,4.0,Full time employee,Developer,No,4.0,2,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1018,1024,126800.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,15.0,None,Bachelors (4 years),Yes,"No, I never have",40.0,2,Private business,North America
1019,1025,104000.0,United States,Microsoft SQL Server,8.0,Full time employee,DBA,No,8.0,4,Bachelors (4 years),Yes,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
1020,1026,60000.0,United States,Microsoft SQL Server,3.0,Full time employee,Developer,No,3.0,None,None (no degree completed),,"Yes, and they're currently valid",50.0,"None, or less than 1 day per week",Government,North America
1021,1027,115000.0,United States,Microsoft SQL Server,8.0,Full time employee,Manager,Yes,4.0,More than 5,None (no degree completed),,"No, I never have",50.0,3,Private business,North America
1022,1028,25000.0,United States,Microsoft SQL Server,2.0,Full time employee,DBA,No,2.0,1,Associates (2 years),Yes,"No, I never have",22.0,"None, or less than 1 day per week",Government,North America
1023,1029,105000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,7.0,3,Bachelors (4 years),No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1024,1030,112500.0,United States,Microsoft SQL Server,10.0,Full time employee,Manager,Yes,2.0,1,None (no degree completed),,"No, I never have",48.0,1,Private business,North America
1025,1031,92000.0,United States,Microsoft SQL Server,14.0,Full time employee,DBA,No,4.0,None,None (no degree completed),,"Yes, and they're currently valid",35.0,1,Private business,North America
1026,1032,120000.0,United States,Microsoft SQL Server,10.0,Full time employee,Architect,No,4.0,3,Associates (2 years),Yes,"Yes, but they expired",40.0,1,Private business,North America
1027,1033,62000.0,United States,Microsoft SQL Server,3.0,Full time employee,Architect,No,3.0,2,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Government,North America
1028,1034,68000.0,United States,Microsoft SQL Server,2.0,Full time employee,Analyst,No,2.0,3,Bachelors (4 years),No,"No, I never have",40.0,1,Private business,North America
1029,1035,135000.0,United States,Other,20.0,Full time employee,DBA,Yes,20.0,More than 5,Associates (2 years),No,"Yes, but they expired",40.0,5 or more,Private business,North America
1030,1036,130000.0,United States,Microsoft SQL Server,20.0,Full time employee,Architect,Yes,3.0,None,Masters,No,"No, I never have",60.0,5 or more,Private business,North America
1031,1037,93000.0,United States,Microsoft SQL Server,11.0,Full time employee,Developer,No,6.0,2,Associates (2 years),No,"Yes, but they expired",35.0,"None, or less than 1 day per week",Private business,North America
1032,1038,107000.0,United States,Microsoft SQL Server,12.0,Full time employee,Manager,Yes,2.0,More than 5,Bachelors (4 years),Yes,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
1033,1039,52000.0,United States,Microsoft SQL Server,2.0,Full time employee,Developer,No,2.0,2,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1034,1040,105000.0,United States,Microsoft SQL Server,15.0,Full time employee,Manager,Yes,15.0,2,Masters,Yes,"No, I never have",40.0,2,Private business,North America
1035,1041,100000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,Yes,2.0,None,Bachelors (4 years),No,"No, I never have",50.0,1,Private business,North America
1036,1042,63000.0,United States,Microsoft SQL Server,2.0,Full time employee,Analyst,No,3.0,1,Masters,No,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1037,1043,115000.0,United States,Microsoft SQL Server,14.0,Full time employee,Engineer,No,2.0,More than 5,Bachelors (4 years),Yes,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
1038,1044,109000.0,United States,Oracle,9.0,Full time employee,DBA,No,9.0,1,Masters,Yes,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
1039,1045,106000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,Yes,1.0,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",55.0,1,Private business,North America
1040,1046,196000.0,United States,Microsoft SQL Server,18.0,Independent Consultant/Freelancer,Architect,Yes,10.0,None,Masters,Yes,"Yes, but they expired",55.0,5 or more,Government,North America
1041,1047,170000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,2.0,1,None (no degree completed),No,"Yes, but they expired",50.0,1,Private business,North America
1042,1048,95000.0,United States,Microsoft SQL Server,8.0,Full time employee,Architect,No,4.0,None,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1043,1049,105000.0,United States,Microsoft SQL Server,4.0,Full time employee,Architect,No,2.0,1,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
1044,1050,98000.0,United States,Microsoft SQL Server,5.0,Full time employee,Developer,Yes,5.0,None,Bachelors (4 years),Yes,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
1045,1051,89000.0,United States,Microsoft SQL Server,8.0,Full time employee,Developer,No,5.0,None,Bachelors (4 years),Yes,"Yes, but they expired",40.0,2,Private business,North America
1046,1052,116000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,25.0,3,Bachelors (4 years),Yes,"No, I never have",40.0,1,Private business,North America
1047,1053,180000.0,United States,Microsoft SQL Server,17.0,Full time employee,Developer,No,5.0,More than 5,None (no degree completed),,"No, I never have",35.0,2,Private business,North America
1048,1054,163000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,No,8.0,3,None (no degree completed),,"Yes, but they expired",40.0,5 or more,Private business,North America
1049,1055,85000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,No,10.0,None,None (no degree completed),,"Yes, but they expired",50.0,1,Private business,North America
1050,1056,103000.0,United States,Other,3.0,Full time employee,DBA,No,3.0,None,Bachelors (4 years),No,"No, I never have",45.0,1,Private business,North America
1051,1057,83000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,3.0,None,None (no degree completed),,"No, I never have",50.0,1,Private business,North America
1052,1058,130000.0,United States,Microsoft SQL Server,14.0,Full time employee,Architect,No,2.0,None,None (no degree completed),,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
1053,1059,165000.0,United States,Microsoft SQL Server,13.0,Independent Consultant/Freelancer,Architect,Yes,13.0,2,Masters,Yes,"Yes, but they expired",40.0,1,Private business,North America
1054,1060,108000.0,United States,Microsoft SQL Server,4.0,Full time employee,Developer,No,4.0,More than 5,Bachelors (4 years),No,"No, I never have",45.0,1,Private business,North America
1055,1061,105000.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,6.0,More than 5,None (no degree completed),,"No, I never have",40.0,"None, or less than 1 day per week",Private business,North America
1056,1062,130000.0,United States,Microsoft SQL Server,10.0,Full time employee,Architect,Yes,1.0,None,Associates (2 years),No,"Yes, but they expired",40.0,1,Private business,North America
1057,1063,110000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,5.0,2,Masters,Yes,"Yes, and they're currently valid",40.0,5 or more,Private business,North America
1058,1064,174000.0,United States,Microsoft SQL Server,18.0,Full time employee,Architect,No,2.0,None,Masters,No,"Yes, and they're currently valid",40.0,3,Private business,North America
1059,1065,100000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,No,15.0,None,Masters,Yes,"Yes, but they expired",60.0,"None, or less than 1 day per week",Private business,North America
1060,1066,133000.0,United States,Microsoft SQL Server,16.0,Full time employee,Manager,Yes,1.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
1061,1067,115000.0,United States,Microsoft SQL Server,20.0,Full time employee,DBA,Yes,10.0,None,Masters,Yes,"Yes, and they're currently valid",40.0,2,Private business,North America
1062,1068,115000.0,United States,Microsoft SQL Server,10.0,Full time employee,Architect,No,3.0,None,Bachelors (4 years),Yes,"Yes, but they expired",50.0,1,Private business,North America
1063,1069,80000.0,United States,PostgreSQL,3.0,Full time employee,Manager,Yes,2.0,None,Masters,No,"No, I never have",48.0,2,Private business,North America
1064,1070,65000.0,United States,Microsoft SQL Server,4.0,Full time employee,DBA,No,1.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
1065,1071,106000.0,United States,Microsoft SQL Server,16.0,Full time employee,Engineer,No,4.0,More than 5,Bachelors (4 years),Yes,"Yes, but they expired",40.0,1,Private business,North America
1066,1072,160000.0,United States,Microsoft SQL Server,25.0,Independent Consultant/Freelancer,DBA,No,5.0,2,None (no degree completed),,"Yes, and they're currently valid",35.0,"None, or less than 1 day per week",Private business,North America
1067,1073,95138.0,United States,Microsoft SQL Server,20.0,Full time employee,Developer,Yes,1.0,None,Associates (2 years),No,"No, I never have",60.0,5 or more,Private business,North America
1068,1074,120000.0,United States,Microsoft SQL Server,13.0,Full time employee,DBA,No,1.0,None,Bachelors (4 years),Yes,"Yes, but they expired",40.0,2,Private business,North America
1069,1075,100000.0,United States,Microsoft SQL Server,13.0,Full time employee,Manager,Yes,13.0,1,Bachelors (4 years),Yes,"No, I never have",55.0,"None, or less than 1 day per week",Private business,North America
1070,1076,73000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,No,3.0,2,Bachelors (4 years),Yes,"No, I never have",46.0,"None, or less than 1 day per week",Private business,North America
1071,1077,96000.0,United States,Microsoft SQL Server,6.0,Full time employee,Developer,No,6.0,None,Bachelors (4 years),Yes,"No, I never have",40.0,"None, or less than 1 day per week",Government,North America
1072,1078,175000.0,United States,Microsoft SQL Server,21.0,Independent Consultant/Freelancer,Developer,No,21.0,None,Bachelors (4 years),No,"Yes, and they're currently valid",30.0,4,Private business,North America
1073,1079,95000.0,United States,Microsoft SQL Server,15.0,Full time employee,Developer,No,2.0,1,Bachelors (4 years),No,"No, I never have",40.0,2,Private business,North America
1074,1080,62000.0,United States,PostgreSQL,5.0,Independent Consultant/Freelancer,Architect,Yes,10.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",80.0,4,Private business,North America
1075,1081,115000.0,United States,Microsoft SQL Server,7.0,Full time employee,DBA,No,1.0,More than 5,Bachelors (4 years),No,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
1076,1082,76000.0,United States,Microsoft SQL Server,10.0,Full time employee,Engineer,No,5.0,More than 5,Bachelors (4 years),Yes,"No, I never have",50.0,5 or more,Private business,North America
1077,1083,75000.0,United States,Microsoft SQL Server,5.0,Full time employee,Developer,No,2.0,3,Bachelors (4 years),No,"No, I never have",50.0,1,Private business,North America
1078,1084,90000.0,United States,Microsoft SQL Server,9.0,Full time employee,DBA,No,5.0,3,Bachelors (4 years),Yes,"No, I never have",40.0,5 or more,Private business,North America
1079,1085,37400.0,United States,Microsoft SQL Server,4.0,Full time employee,Engineer,No,4.0,1,Associates (2 years),Yes,"Yes, and they're currently valid",40.0,1,Private business,North America
1080,1086,105000.0,United States,SAP,5.0,Full time employee,Architect,No,12.0,None,Bachelors (4 years),No,"No, I never have",50.0,1,Government,North America
1081,1087,51000.0,United States,Microsoft SQL Server,38.0,Full time employee,DBA,No,4.0,3,Bachelors (4 years),Yes,"Yes, and they're currently valid",40.0,"None, or less than 1 day per week",Private business,North America
1082,1088,73000.0,United States,Microsoft SQL Server,3.0,Full time employee,DBA,No,3.0,2,Bachelors (4 years),Yes,"No, I never have",60.0,3,Private business,North America
1083,1089,11500.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,6.0,4,Associates (2 years),Yes,"Yes, but they expired",50.0,1,Private business,North America
1084,1090,104000.0,United States,Microsoft SQL Server,12.0,Full time employee,DBA,No,3.0,More than 5,Associates (2 years),,"Yes, and they're currently valid",50.0,2,Private business,North America
1085,1091,121000.0,United States,Microsoft SQL Server,15.0,Full time employee,DBA,Yes,10.0,1,Bachelors (4 years),Yes,"No, I never have",45.0,4,Private business,North America
1086,1092,56000.0,United States,Microsoft SQL Server,5.0,Full time employee,Manager,Yes,8.0,None,Bachelors (4 years),No,"Yes, but they expired",42.0,"None, or less than 1 day per week",Private business,North America
1087,1093,100000.0,United States,Microsoft SQL Server,12.0,Full time employee,DBA,No,7.0,None,Bachelors (4 years),Yes,"Yes, but they expired",43.0,"None, or less than 1 day per week",Private business,North America
1088,1094,117000.0,United States,Microsoft SQL Server,10.0,Full time employee,DBA,No,6.0,2,Bachelors (4 years),No,"Yes, but they expired",40.0,1,Private business,North America
1089,1095,89000.0,United States,Microsoft SQL Server,14.0,Full time employee,Developer,No,2.0,1,Bachelors (4 years),Yes,"Yes, but they expired",60.0,"None, or less than 1 day per week",Private business,North America
1090,1096,85000.0,United States,Microsoft SQL Server,12.0,Full time employee,Engineer,No,6.0,2,Bachelors (4 years),Yes,"No, I never have",42.0,"None, or less than 1 day per week",Private business,North America
1091,1097,125000.0,United States,Microsoft SQL Server,22.0,Full time employee,Engineer,No,6.0,More than 5,Bachelors (4 years),No,"Yes, but they expired",45.0,"None, or less than 1 day per week",Private business,North America
1092,1098,100000.0,United States,Microsoft SQL Server,23.0,Full time employee,Developer,No,1.0,None,Bachelors (4 years),Yes,"No, I never have",45.0,"None, or less than 1 day per week",Private business,North America
1093,1099,100000.0,United States,Microsoft SQL Server,8.0,Full time employee,Developer,No,8.0,1,Masters,Yes,"Yes, but they expired",40.0,"None, or less than 1 day per week",Government,North America
1094,1100,93500.0,United States,Microsoft SQL Server,6.0,Full time employee,DBA,No,3.0,None,Bachelors (4 years),Yes,"Yes, but they expired",40.0,5 or more,Private business,North America
1095,1101,68000.0,United States,Microsoft SQL Server,6.0,Full time employee,Analyst,No,6.0,None,None (no degree completed),,"No, I never have",50.0,"None, or less than 1 day per week",Private business,North America
1096,1102,72000.0,United States,Microsoft SQL Server,1.0,Full time employee,DBA,No,1.0,None,Bachelors (4 years),Yes,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
1097,1103,80000.0,United States,Microsoft SQL Server,10.0,Full time employee,Analyst,No,20.0,1,None (no degree completed),,"Yes, and they're currently valid",45.0,"None, or less than 1 day per week",Private business,North America
1098,1104,148000.0,United States,Microsoft SQL Server,9.0,Full time employee,Manager,No,14.0,None,Masters,Yes,"Yes, but they expired",45.0,"None, or less than 1 day per week",Private business,North America
1099,1105,98000.0,United States,Microsoft SQL Server,18.0,Full time employee,DBA,No,18.0,2,None (no degree completed),,"No, I never have",60.0,"None, or less than 1 day per week",Private business,North America
